;nplv;DT;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);N2 (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;произв  количество плавок;произв количество плавок (цел);расход газ Ar;расход газ  N2;расход C пров.;сыпуч известь РП;сыпуч кварцит;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь (сух.);сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл FeMo;ферспл FeSi-75;ферспл FeV азот.;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл  Ni H1 пласт.;ферспл SiMn18;ферспл  ферванит;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
4473;г6838636<?=;2071-01-06 13:09:00;Э90ХАФ;Р65;35,0;42,3666667;20,9833333;42,2;;0,4318136;0,10998;0,16268;0,13784;0,0919611;1580,0;1587,0;14,6758065;20,3796369;13147,5774424;114,8;1,0;1,0;1,0;10,11;14,345;0,003553;0,146;;0,05;;0,459;0,038;0,02;;;;0,103154;0,147;;0,251;0,023546;0,195;4598,0;0,002;0,521;0,191;0,079;0,658;0,005;0,012;0,056;0,009;0,013;0,428;0,002;0,003;0,004;0,84;0,0004;0,289;0,079;0,805;0,003;0,02;0,055;0,01;0,01;0,561;0,003;0,085;4,1;58,4;0,8;12,5;0,08;2,6;22,8;4,6;55,0;0,6;6,5;0,05;2,7;20,4
4474;г6838636<?>;2071-01-06 14:02:00;Э90ХАФ;Р65;31,0;44,0166667;22,55;43,85;3,6770026;0,3725964;0,139308;0,125706;0,105496;0,0918422;1547,0;1581,0;15,0906178;18,2195455;13694,9002217;114,2;1,0;1,0;1,0;10,991;13,361;0,025245;0,147;;0,05;;0,356;0,037;0,02;;;;0,103262;0,112;;0,194;0,023076;0,247;5147,0;0,002;0,551;0,163;0,068;0,69;0,004;0,012;0,044;0,009;0,016;0,456;0,002;0,003;0,003;0,843;0,0002;0,287;0,068;0,803;0,002;0,018;0,044;0,01;0,013;0,547;0,003;0,084;3,0;61,6;0,3;10,4;0,11;2,6;24,0;3,8;62,3;0,5;8,0;0,13;2,6;24,2
4475;г6838636<??;2071-01-06 15:03:00;Э90ХАФ;Р65;26,0;44,8666667;20,2833333;44,7;3,8193103;0,40946;0,098136;0,080992;0,110672;0,0907682;1580,0;1580,0;14,9642857;16,1632911;12956,4502876;113,8;1,0;1,0;1,0;10,475;12,769;;0,2;;0,05;;0,441;0,037;0,02;;;;0,102105;0,139;;0,123;0,022714;0,174;4380,0;0,002;0,544;0,203;0,076;0,732;0,004;0,013;0,051;0,009;0,013;0,46;0,002;0,003;0,003;0,846;0,0002;0,291;0,078;0,803;0,003;0,017;0,052;0,011;0,012;0,548;0,003;0,084;3,7;58,7;0,8;11,2;0,11;2,5;23,1;3,6;49,4;0,6;8,9;0,09;2,6;18,9
4476;г6838636=66;2071-01-06 15:52:00;Э90ХАФ;Р65;34,0;45,85;21,0;45,3666667;3,2872164;0,2567441;0,113928;0,098325;0,07702;0,0911389;1533,0;1590,0;14,4697143;15,096362;13677,1428571;113,1;1,0;1,0;1,0;12,661;9,452;0,009911;0,075;;0,05;;0,237;0,03;0,02;;;;0,101997;0,079;;0,152;0,023763;0,202;4787,0;0,003;0,608;0,188;0,088;0,712;0,005;0,013;0,053;0,012;0,014;0,479;0,003;0,004;0,003;0,85;0,0003;0,287;0,087;0,796;0,004;0,016;0,054;0,012;0,01;0,538;0,003;0,085;3,4;60,9;0,5;7,9;0,18;2,6;23,3;4,6;61,4;0,3;8,7;0,07;2,8;22,2
4477;г6838636=67;2071-01-06 16:43:00;Э90ХАФ;Р65;38,0;50,35;23,8666667;50,0166667;3,5841523;0,40478;0,11844;0,143656;0,114176;0,0923037;1569,0;1586,0;15,0348697;12,9837244;13449,7206704;115,5;1,0;1,0;1,0;8,336;14,448;;0,131;;0,05;;0,429;0,038;0,02;;;;0,103805;0,118;;0,222;0,023148;0,21;5350,0;0,002;0,552;0,182;0,092;0,673;0,006;0,011;0,058;0,01;0,016;0,447;0,002;0,003;0,003;0,84;0,0002;0,285;0,093;0,798;0,004;0,016;0,058;0,01;0,01;0,553;0,003;0,084;2,9;58,9;0,4;10,4;0,07;2,5;24,0;3,7;58,6;0,6;10,6;0,09;2,3;25,8
4478;г6838636=68;2071-01-06 17:35:00;Э90ХАФ;Р65;50,0;44,0333333;24,8666667;43,7;3,6009281;0,4366287;0,106596;0,178111;0,125396;0,0915848;1571,0;1598,0;11,2339535;9,1397136;13635,1206434;114,8;1,0;1,0;1,0;8,051;6,738;0,02618;0,294;;0,05;;0,438;0,042;0,02;;;;0,102937;0,121;;0,276;0,023076;0,189;5651,0;0,002;0,497;0,194;0,099;0,65;0,006;0,01;0,063;0,008;0,015;0,441;0,002;0,003;0,003;0,834;0,0007;0,287;0,098;0,802;0,004;0,015;0,063;0,01;0,013;0,545;0,003;0,084;5,0;49,4;0,8;14,5;0,08;2,6;19,3;3,4;57,9;0,8;10,3;0,17;2,3;24,9
4479;г6838636=69;2071-01-06 18:42:00;Э90ХАФ;Р65;36,0;40,7166667;19,55;40,3833333;3,8468571;0,3724464;0,09588;0,129414;0,102664;0,0912646;1568,0;1587,0;18,59509;17,7149007;13565,2173913;113,7;1,0;1,0;1,0;6,312;17,833;0,01496;0,145;;0,05;;0,376;0,038;0,02;;;;0,101997;0,106;;0,2;0,024052;0,17;4420,0;0,002;0,543;0,203;0,104;0,678;0,007;0,012;0,069;0,01;0,014;0,46;0,002;0,003;0,003;0,844;0,0002;0,286;0,102;0,792;0,005;0,019;0,069;0,011;0,01;0,538;0,003;0,084;3,3;61,0;0,3;9,5;0,09;2,5;24,3;4,5;60,3;0,6;8,9;0,08;2,6;23,0
4480;г6838636=6:;2071-01-06 19:34:00;Э90ХАФ;Р65;37,0;48,35;20,4833333;48,1833333;;0,384115;0,095316;0,065064;0,234784;0,0894022;1570,0;1586,0;12,7294215;17,0474413;13565,174939;110,7;1,0;1,0;1,0;8,557;15,731;;0,107;;0,05;;0,411;0,051;0,02;;;;0,100043;0,34;;0,092;0,023329;0,169;4631,0;0,002;0,541;0,204;0,092;0,727;0,007;0,01;0,07;0,012;0,015;0,312;0,002;0,003;0,004;0,847;0,0006;0,291;0,092;0,79;0,005;0,019;0,07;0,013;0,011;0,527;0,003;0,084;3,4;54,2;0,7;11,0;0,1;2,7;19,7;3,4;51,2;0,6;7,8;0,1;2,7;19,2
4481;"г6838636=6;";2071-01-06 20:46:00;Э90ХАФ;Р65;20,0;47,1666667;20,8;46,9833333;;0,386565;0,117876;0,107091;0,074276;0,0921499;1573,0;1592,0;12,0359086;14,755157;13237,5;113,6;1,0;1,0;1,0;6,145;15,538;;0,064;;0,05;;0,408;0,052;0,02;;;;0,103154;0,071;;0,166;0,02398;0,209;4589,0;0,002;0,537;0,192;0,085;0,703;0,005;0,013;0,069;0,009;0,013;0,463;0,002;0,003;0,003;0,866;0,0002;0,294;0,083;0,783;0,004;0,02;0,068;0,01;0,009;0,535;0,003;0,085;3,1;48,7;0,8;7,5;0,09;3,0;16,1;4,1;62,6;0,6;5,4;0,08;2,7;23,5
4482;г6838636=6<;2071-01-06 21:36:00;Э90ХАФ;Р65;27,0;43,9833333;24,7833333;43,8;;0,30776;0,110544;0,057652;0,069232;0,0932006;1541,0;1584,0;11,8836045;14,0706593;13199,1930061;116,2;1,0;1,0;1,0;5,275;14,227;;0,126;;0,05;;0,314;0,053;0,02;;;;0,104818;0,084;;0,088;0,023365;0,196;5452,0;0,002;0,608;0,192;0,083;0,74;0,007;0,011;0,059;0,013;0,016;0,477;0,003;0,004;0,004;0,854;0,0002;0,29;0,085;0,793;0,006;0,018;0,059;0,015;0,012;0,543;0,004;0,087;3,6;61,0;0,4;11,2;0,12;2,8;21,9;3,3;59,1;0,5;8,7;0,12;2,4;24,5
4483;г6838636=6=;2071-01-06 22:30:00;Э90ХАФ;Р65;26,0;44,5333333;20,5333333;44,2;;0,42868;0,129783;0,179452;0,106592;0,0928328;1570,0;1589,0;12,4548736;11,9287883;13470,7792208;115,7;1,0;1,0;1,0;5,75;12,005;;0,15;;0,05;;0,455;0,041;0,02;;;;0,104239;0,091;;0,279;0,023582;0,23;4610,0;0,002;0,502;0,173;0,096;0,631;0,005;0,011;0,058;0,008;0,018;0,438;0,002;0,003;0,003;0,844;0,0002;0,288;0,096;0,79;0,003;0,017;0,059;0,008;0,013;0,54;0,003;0,085;3,8;52,0;0,6;13,2;0,13;2,4;21,3;4,4;53,9;0,8;16,3;0,09;2,5;21,6
4484;г6838636=6>;2071-01-06 23:21:00;Э90ХАФ;Р65;27,0;52,5333333;20,8333333;52,3833333;;0,52715;0,091854;0,12004;0,0848;0,0926511;1588,0;1581,0;12,8135593;18,0516706;13271,04;115,4;1,0;1,0;1,0;7,14;21,311;;0,155;;0,05;;0,586;0,041;0,02;;;;0,104528;0,082;;0,186;0,022678;0,162;4608,0;0,002;0,428;0,208;0,088;0,686;0,009;0,011;0,066;0,009;0,016;0,456;0,002;0,003;0,003;0,859;0,0006;0,286;0,088;0,791;0,007;0,021;0,066;0,01;0,012;0,545;0,003;0,084;3,1;46,7;1,5;8,9;0,14;2,2;21,4;4,5;61,2;0,5;7,0;0,07;2,7;22,7
4485;г6838636=6?;2071-01-07 00:15:00;Э76ХФ;Р65;32,0;52,9;24,6833333;52,9;;0,293965;0,107163;0,102479;0,110724;0,0381277;1585,0;1617,0;11,2149675;;13512,7616475;111,2;1,0;1,0;1,0;19,648;;;0,274;;0,05;;0,296;0,041;0,02;;;;0,048141;0,13;;0,157;;0,189;5559,0;0,002;0,522;0,326;0,104;0,7;0,007;0,011;0,071;0,01;0,017;0,47;0,002;0,003;0,004;0,759;0,0002;0,419;0,103;0,79;0,007;0,012;0,072;0,01;0,008;0,563;0,003;0,038;3,6;48,4;0,4;10,3;0,07;2,8;17,3;3,9;54,1;0,4;12,6;0,08;2,7;19,7
4486;г6838636=76;2071-01-07 01:04:00;Э76ХФ;Р65;42,0;52,5666667;26,0166667;52,5666667;;0,2714291;0,126441;0,099741;0,103596;0,0387288;1541,0;1593,0;10,3784301;;13438,3087764;113,6;1,0;1,0;1,0;18,07;;0,014025;0,127;;0,05;;0,248;0,04;0,02;;;;0,0489;0,12;;0,153;;0,223;5827,0;0,002;0,526;0,31;0,091;0,699;0,007;0,011;0,069;0,009;0,015;0,473;0,002;0,003;0,004;0,757;0,0003;0,42;0,092;0,789;0,006;0,013;0,07;0,01;0,008;0,56;0,003;0,038;3,7;58,3;0,5;10,6;0,06;2,8;21,1;4,2;61,9;0,5;6,1;0,08;2,6;23,4
4487;г6838636=77;2071-01-07 01:55:00;Э76ХФ;Р65;50,0;58,5666667;27,3166667;58,5666667;;0,265525;0,090153;0,077617;0,103372;0,0396174;1524,0;1587,0;12,009391;;13591,7022575;116,5;1,0;1,0;1,0;23,445;;;0,065;;0,05;;0,265;0,041;0,02;;;;0,050022;0,129;;0,118;;0,159;6188,0;0,002;0,524;0,339;0,093;0,719;0,006;0,011;0,061;0,01;0,014;0,472;0,003;0,004;0,004;0,74;0,0003;0,415;0,093;0,786;0,005;0,013;0,062;0,011;0,009;0,551;0,004;0,037;3,4;63,3;1,0;9,3;0,41;3,0;20,8;4,0;62,3;0,6;4,8;0,1;2,8;22,0
4488;г6838636=78;2071-01-07 03:07:00;Э76ХФ;Р65;43,0;50,0166667;18,8666667;50,0166667;;0,347655;0,107163;0,084291;0,115396;0,0401045;1583,0;1584,0;9,0436049;;13131,0954064;116,8;1,0;1,0;1,0;14,829;;;0,072;;0,05;;0,363;0,04;0,02;;;;0,050637;0,145;;0,128;;0,189;4129,0;0,002;0,489;0,332;0,085;0,719;0,008;0,011;0,063;0,01;0,014;0,461;0,002;0,003;0,003;0,773;0,0002;0,421;0,087;0,791;0,007;0,013;0,064;0,011;0,011;0,565;0,003;0,038;3,5;60,3;0,3;9,1;0,11;2,7;22,1;3,6;61,7;0,3;9,5;0,11;2,7;22,9
4489;г6838636=79;2071-01-07 04:09:00;Э76ХФ;Р65;37,0;53,25;14,6666667;53,25;;0,3883;0,069174;0,064534;0,131144;0,0399033;1592,0;1582,0;12,3098592;;13536,8181818;116,7;1,0;1,0;1,0;21,85;;;0,062;;0,05;;0,421;0,04;0,02;;;;0,050383;0,178;;0,096;;0,122;3309,0;0,002;0,452;0,36;0,101;0,728;0,007;0,011;0,076;0,011;0,014;0,442;0,002;0,003;0,003;0,768;0,0002;0,418;0,101;0,791;0,007;0,013;0,076;0,012;0,012;0,563;0,003;0,038;3,6;62,9;0,8;8,3;0,23;2,9;21,7;4,0;62,4;0,4;4,7;0,07;2,8;22,1
4490;г6838636=7:;2071-01-07 04:58:00;Э76ХФ;Р65;48,0;45,7333333;19,6666667;45,7333333;;0,3274;0,106596;0,086364;0,099984;0,0388722;1542,0;1571,0;11,3023409;;13210,1694915;114,1;1,0;1,0;1,0;17,167;;;0,074;;0,05;;0,338;0,042;0,02;;;;0,049081;0,12;;0,132;;0,188;4330,0;0,002;0,491;0,333;0,093;0,709;0,006;0,01;0,062;0,01;0,015;0,47;0,002;0,004;0,003;0,776;0,0001;0,425;0,093;0,785;0,005;0,012;0,062;0,01;0,015;0,569;0,004;0,037;3,6;60,2;0,5;7,8;0,09;2,6;22,9;4,0;60,3;0,8;5,5;0,08;2,5;24,5
4491;"г6838636=7;";2071-01-07 05:52:00;Э76ХФ;Р65;46,0;47,5333333;16,8833333;47,5333333;;0,21379;0,12474;0,071465;0,13046;0,039044;1555,0;1572,0;11,3087309;;13021,1253702;114,4;1,0;1,0;1,0;17,45;;;;;0,05;;0,195;0,041;0,02;;;;0,049298;0,174;;0,107;;0,22;3664,0;0,002;0,6;0,32;0,097;0,725;0,005;0,01;0,058;0,011;0,014;0,457;0,003;0,005;0,004;0,78;0,0003;0,426;0,096;0,785;0,005;0,011;0,059;0,013;0,011;0,569;0,004;0,039;4,8;59,9;0,6;8,5;0,11;2,9;20,7;5,0;60,6;0,5;5,8;0,06;2,7;22,1
4492;г6838636=7<;2071-01-07 06:50:00;Э76ХФ;Р65;42,0;44,2;27,9666667;44,2;4,7542453;0,31875;0,104328;0,053687;0,084772;0,0391018;1506,0;1570,0;10,7029412;;14704,6483909;114,7;1,0;1,0;1,0;15,769;;;0,052;;0,05;;0,329;0,07;0,02;;;;0,049371;0,11;;0,081;;0,184;6854,0;0,002;0,506;0,328;0,101;0,735;0,008;0,01;0,067;0,01;0,017;0,476;0,003;0,005;0,004;0,743;0,0003;0,415;0,099;0,774;0,007;0,012;0,067;0,011;0,011;0,555;0,004;0,038;3,2;64,3;0,3;7,7;0,21;2,8;22,9;4,4;64,6;0,3;3,0;0,05;2,8;21,8
4493;г6838636=7=;2071-01-07 07:44:00;Э76ХФ;Р65;40,0;40,8666667;16,1666667;40,8666667;2,6438356;0,37382;0,086184;0,115152;0,133312;0,0400467;1577,0;1580,0;12,8569331;;13049,0721649;117,6;1,0;1,0;1,0;17,514;;;0,079;;0,05;;0,398;0,041;0,02;;;;0,050564;0,16;;0,176;;0,152;3516,0;0,002;0,461;0,346;0,103;0,693;0,005;0,01;0,069;0,011;0,016;0,454;0,002;0,004;0,003;0,762;0,0002;0,418;0,104;0,795;0,005;0,013;0,069;0,012;0,013;0,569;0,003;0,038;3,8;47,9;0,4;8,9;0,19;2,6;18,5;5,7;59,6;0,5;8,4;0,08;2,7;22,3
4494;г6838636=7>;2071-01-07 08:37:00;Э76ХФ;Р65;38,0;41,0166667;23,35;41,0166667;3,6165778;0,352295;0,108297;0,148182;0,096232;0,0392452;1524,0;1577,0;13,7753759;;13729,3361884;115,7;1,0;1,0;1,0;18,834;;;0,098;;0,05;;0,366;0,079;0,02;;;;0,049552;0,088;;0,23;;0,191;5343,0;0,002;0,436;0,327;0,099;0,665;0,006;0,01;0,064;0,007;0,019;0,47;0,002;0,003;0,003;0,766;0,0001;0,417;0,097;0,79;0,005;0,013;0,063;0,008;0,012;0,57;0,004;0,037;3,5;52,1;0,3;7,9;0,16;2,8;18,5;5,9;62,8;0,3;4,9;0,06;2,8;20,8
4495;г6838636=7?;2071-01-07 09:40:00;Э76ХФ;Р65;23,0;44,4833333;18,6;44,4833333;2,0;0,429015;0,104895;0,158563;0,148228;0,0400182;1576,0;1573,0;18,1072312;;12880,6451613;116,8;1,0;1,0;1,0;26,849;;;0,129;;0,05;;0,461;0,04;0,02;;;;0,050528;0,165;;0,244;;0,185;3993,0;0,002;0,411;0,334;0,094;0,652;0,006;0,011;0,065;0,01;0,02;0,447;0,002;0,003;0,003;0,775;0,0001;0,425;0,097;0,799;0,005;0,015;0,067;0,012;0,015;0,565;0,003;0,037;3,9;54,0;0,9;8,6;0,13;2,7;20,0;5,3;51,5;0,7;7,3;0,08;2,4;21,6
4496;г6838636=86;2071-01-07 10:31:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4497;г6838636=87;2071-01-07 11:20:00;Э76ХФ;Р65;13,0;49,7;22,1333333;49,7;2,8932432;0,3870201;0,151389;0,173452;0,138832;0,0395311;1571,0;1574,0;11,1856927;;12892,7710843;116,1;1,0;1,0;1,0;18,503;;0,022627;0,084;;0,05;;0,373;0,052;0,02;;;;0,049913;0,144;;0,268;;0,267;4756,0;0,002;0,443;0,29;0,091;0,642;0,006;0,013;0,065;0,006;0,017;0,449;0,002;0,003;0,003;0,751;0,0001;0,42;0,091;0,795;0,005;0,011;0,065;0,007;0,013;0,562;0,003;0,038;3,5;57,9;0,4;9,2;0,11;2,7;21,2;5,7;62,7;0,4;6,2;0,07;2,8;21,6
4498;г6838636=88;2071-01-07 12:09:00;Э76ХФ;Р65;30,0;40,5166667;16,8666667;40,5166667;2,7917495;0,547575;0,163863;0,196982;0,186712;0,0396744;1586,0;1574,0;19,8444262;;13115,8102767;117,0;1,0;1,0;1,0;26,801;;;0,169;;0,05;;0,595;0,027;0,02;;;;0,050094;0,209;;0,303;;0,289;3687,0;0,001;0,34;0,28;0,103;0,61;0,006;0,01;0,065;0,007;0,02;0,392;0,001;0,003;0,003;0,798;0,0002;0,418;0,1;0,79;0,005;0,015;0,065;0,009;0,016;0,577;0,004;0,038;3,5;45,9;1,4;10,7;0,46;2,2;20,6;3,3;58,6;0,4;8,7;0,14;2,5;23,5
4499;г6838636=89;2071-01-07 13:01:00;Э76ХФ;Р65;26,0;40,5166667;13,8333333;40,5166667;1,3161807;0,424955;0,145719;0,145223;0,188708;0,0391303;1610,0;1578,0;17,3350884;;11780,2409639;114,4;1,0;1,0;1,0;23,412;;;0,256;;0,05;;0,449;0,04;0,02;;;;0,049407;0,234;;0,221;;0,257;2716,0;0,002;0,409;0,29;0,105;0,66;0,007;0,013;0,067;0,009;0,02;0,404;0,001;0,003;0,003;0,765;0,0003;0,417;0,106;0,79;0,006;0,016;0,068;0,01;0,012;0,563;0,003;0,037;3,2;47,4;0,4;12,6;0,14;2,1;22,6;4,3;52,5;0,6;14,1;0,11;2,1;25,2
4500;г6838636=8:;2071-01-07 14:01:00;Э76ХФ;Р65;20,0;45,55;15,9;45,55;1,3863326;0,40762;0,133812;0,140355;0,19506;0,0387288;1612,0;1580,0;17,5837541;;12301,8867925;114,9;1,0;1,0;1,0;26,698;;;0,332;;0,05;;0,43;0,041;0,02;;;;0,0489;0,246;;0,213;;0,236;3260,0;0,002;0,439;0,303;0,116;0,667;0,008;0,011;0,077;0,009;0,021;0,402;0,001;0,004;0,003;0,75;0,0004;0,412;0,119;0,793;0,008;0,014;0,081;0,011;0,012;0,567;0,003;0,038;3,6;52,3;0,6;13,9;0,37;2,1;24,4;4,7;51,5;1,0;14,1;0,13;2,1;24,9
4501;"г6838636=8;";2071-01-07 15:00:00;Э90ХАФ;Р65;17,0;44,3833333;27,6333333;43,9;2,9423275;0,52942;0,104328;0,133331;0,106916;0,0918966;1567,0;1619,0;13,4219539;14,6793103;13963,5705669;114,9;1,0;1,0;1,0;13,586;6,622;;0,157;;0,05;;0,586;0,03;0,02;;;;0,103516;0,111;;0,206;0,022786;0,184;6431,0;0,002;0,404;0,197;0,095;0,676;0,006;0,011;0,056;0,008;0,02;0,445;0,002;0,003;0,003;0,844;0,0001;0,287;0,095;0,798;0,004;0,018;0,057;0,01;0,012;0,549;0,004;0,085;3,5;53,8;0,7;12,7;0,25;2,6;20,7;4,1;50,9;0,7;9,5;0,09;2,3;22,1
4502;г6838636=8<;2071-01-07 15:54:00;Э90ХАФ;Р65;16,0;42,4;21,0666667;42,0833333;2,7863903;0,516665;0,101493;0,12756;0,10408;0,0901894;1580,0;1597,0;13,6039514;12,5509982;12750,9493671;112,6;1,0;1,0;1,0;14,919;3,842;;0,213;;0,05;;0,571;0,041;0,02;;;;0,101201;0,109;;0,197;0,02304;0,179;4477,0;0,002;0,44;0,198;0,117;0,671;0,006;0,012;0,071;0,008;0,02;0,447;0,002;0,002;0,003;0,85;0,0002;0,291;0,117;0,792;0,005;0,016;0,071;0,009;0,013;0,545;0,003;0,083;3,2;52,2;0,4;12,1;0,11;2,4;21,4;4,3;56,4;1,0;10,7;0,12;2,5;22,8
4503;г6838636=8=;2071-01-07 16:44:00;Э90ХАФ;Р65;16,0;57,9;24,7166667;57,9;2,2128801;0,46534;0,094122;0,048705;0,08726;0,0927433;1558,0;1593,0;25,7860104;27,3070234;13273,6345246;115,2;1,0;1,0;1,0;49,767;4,536;;0,253;;0,241;;0,347;0,039;0,02;;;;0,103877;0,116;;0,073;0,023908;0,166;5468,0;0,002;0,429;0,206;0,094;0,746;0,005;0,011;0,06;0,011;0,019;0,462;0,002;0,004;0,005;0,863;0,0006;0,292;0,095;0,797;0,004;0,014;0,06;0,012;0,007;0,545;0,004;0,086;3,7;54,7;0,9;11,4;0,17;2,7;20,1;5,2;56,8;0,9;9,6;0,08;2,6;21,8
4504;г6838636=8>;2071-01-07 17:40:00;Э90ХАФ;Р65;26,0;42,7166667;17,6833333;42,55;2,0;0,45418;0,088452;0,082875;0,08882;0,0900905;1575,0;1592,0;20,955709;20,7326174;12679,736098;114,1;1,0;1,0;1,0;21,922;8,581;;0,157;;0,05;;0,498;0,06;0,02;;;;0,100224;0,104;;0,127;0,024414;0,156;3737,0;0,002;0,462;0,209;0,103;0,721;0,006;0,011;0,066;0,01;0,018;0,461;0,002;0,003;0,003;0,854;0,0001;0,289;0,103;0,796;0,004;0,015;0,066;0,012;0,013;0,547;0,003;0,083;3,4;54,9;0,5;11,4;0,12;2,8;19,3;4,8;62,3;0,5;6,5;0,06;2,7;23,0
4505;г6838636=8?;2071-01-07 18:36:00;Э90ХАФ;Р65;24,0;52,0333333;23,5;51,7166667;2,3948864;0,629145;0,100359;0,184051;0,219636;0,0916006;1585,0;1581,0;12,443163;14,3148649;13442,5531915;115,6;1,0;1,0;1,0;16,304;5,885;;0,297;;0,05;;0,708;0,04;0,02;;;;0,101128;0,266;;0,281;0,025933;0,177;5265,0;0,001;0,359;0,199;0,096;0,624;0,006;0,012;0,066;0,009;0,02;0,362;0,001;0,003;0,003;0,832;0,0018;0,285;0,096;0,785;0,004;0,016;0,066;0,01;0,016;0,543;0,003;0,082;4,0;54,6;1,4;13,7;0,26;2,3;23,9;3,5;60,7;0,6;9,5;0,18;2,5;24,5
4506;г6838636=96;2071-01-07 19:32:00;Э90ХАФ;Р65;30,0;43,0166667;19,1833333;42,85;3,2903875;0,54742;0,112266;0,179185;0,14038;0,0926466;1598,0;1587,0;14,5203061;16,9735661;12929,9739357;115,0;1,0;1,0;1,0;15,811;5,672;;0,203;;0,05;;0,605;0,033;0,02;;;;0,101924;0,144;;0,277;0,026874;0,198;4134,0;0,001;0,42;0,192;0,126;0,646;0,007;0,011;0,084;0,008;0,019;0,425;0,001;0,002;0,003;0,822;0,0005;0,288;0,12;0,797;0,005;0,019;0,083;0,008;0,014;0,548;0,003;0,083;3,5;49,2;0,5;8,4;0,08;2,4;20,9;4,3;51,9;0,8;10,2;0,17;2,1;24,2
4507;г6838636=97;2071-01-07 20:24:00;Э90ХАФ;Р65;42,0;42,0166667;17,2833333;41,5166667;3,598916;0,519015;0,108282;0,144122;0,108552;0,0914866;1575,0;1584,0;19,3137097;18,8302158;13594,5998071;114,8;1,0;1,0;1,0;13,305;13,087;;0,145;;0,05;;0,572;0,031;0,02;;;;0,101165;0,109;;0,223;0,025608;0,191;3916,0;0,001;0,443;0,194;0,103;0,662;0,006;0,012;0,074;0,008;0,016;0,451;0,001;0,003;0,003;0,85;0,0002;0,29;0,101;0,792;0,005;0,017;0,073;0,01;0,011;0,552;0,003;0,084;3,2;50,3;0,5;9,0;0,09;2,5;20,0;4,6;56,5;0,4;7,5;0,06;2,7;20,7
4508;г6838636=98;2071-01-07 21:16:00;Э90ХАФ;Р65;48,0;48,2;21,3333333;48,2;2,7981526;0,531765;0,100956;0,146098;0,175528;0,0926782;1604,0;1592,0;27,3055814;27,624819;12999,375;116,0;1,0;1,0;1,0;32,615;22,261;;0,358;;0,05;;0,589;0,031;0,02;;;;0,102286;0,213;;0,223;0,026295;0,179;4622,0;0,002;0,442;0,201;0,105;0,664;0,006;0,011;0,065;0,011;0,016;0,412;0,002;0,003;0,005;0,846;0,0002;0,287;0,102;0,789;0,004;0,02;0,064;0,011;0,011;0,54;0,002;0,082;4,9;54,5;0,7;13,2;0,12;2,3;23,8;3,5;58,2;0,7;10,5;0,19;2,2;26,0
4509;г6838636=99;2071-01-07 22:17:00;Э90ХАФ;Р65;43,0;44,4;26,4333333;44,2333333;5,0938023;0,514155;0,100956;0,177236;0,138576;0,0915152;1524,0;1585,0;17,7299345;16,6032787;15055,9899117;114,9;1,0;1,0;1,0;13,524;11,816;;0,196;;0,05;;0,566;0,032;0,02;;;;0,101201;0,142;;0,274;0,025608;0,179;6633,0;0,001;0,447;0,2;0,106;0,645;0,007;0,009;0,074;0,008;0,018;0,435;0,001;0,002;0,003;0,835;0,0003;0,288;0,105;0,801;0,005;0,015;0,074;0,009;0,015;0,546;0,003;0,083;4,2;60,1;0,7;8,3;0,07;2,6;23,2;3,5;59,2;0,6;8,8;0,22;2,4;24,6
